Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-10-1/17:9:39,leukemia2,1,0,0,0,None,C4.5,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,20,83.33,4,16.67,0.74,0.11,0.33,25,70.23,24,0.83,0.1,0.85,0.83,0.83,0.75,0.86,0.76,11226
2020-10-1/17:10:10,leukemia2,1,0,0,0,None,Naive-Bayes,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,22,91.67,2,8.33,0.87,0.06,0.24,12.5,49.66,24,0.92,0.04,0.93,0.92,0.91,0.88,0.94,0.87,11226
2020-10-1/17:10:12,leukemia2,1,0,0,0,None,IB1,48,100,0,0,1,0.03,0.03,5.97,5.93,48,1,0,1,1,1,1,1,1,21,87.5,3,12.5,0.81,0.1,0.28,23.53,59.29,24,0.88,0.06,0.91,0.88,0.86,0.84,0.91,0.81,11226
2020-10-1/17:10:31,leukemia2,1,0,0,0,None,SVM,48,100,0,0,1,0.22,0.27,50.75,58.19,48,1,0,1,1,1,1,1,1,22,91.67,2,8.33,0.87,0.24,0.3,54.17,64.11,24,0.92,0.05,0.92,0.92,0.92,0.88,0.95,0.88,11226
2020-10-1/17:31:36,leukemia2,1,0,0,0,CFS,C4.5,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,18,75,6,25,0.63,0.17,0.41,37.5,86.01,24,0.75,0.13,0.77,0.75,0.74,0.63,0.81,0.67,142
2020-10-1/17:31:37,leukemia2,1,0,0,0,CFS,Naive-Bayes,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,21,87.5,3,12.5,0.81,0.08,0.29,18.75,60.82,24,0.88,0.06,0.9,0.88,0.88,0.82,0.93,0.86,142
2020-10-1/17:31:38,leukemia2,1,0,0,0,CFS,IB1,48,100,0,0,1,0.03,0.03,5.97,5.93,48,1,0,1,1,1,1,1,1,20,83.33,4,16.67,0.74,0.13,0.32,29.41,68.38,24,0.83,0.11,0.86,0.83,0.83,0.76,0.86,0.75,142
2020-10-1/17:31:39,leukemia2,1,0,0,0,CFS,SVM,48,100,0,0,1,0.22,0.27,50.75,58.19,48,1,0,1,1,1,1,1,1,21,87.5,3,12.5,0.8,0.25,0.32,56.25,67.24,24,0.88,0.09,0.9,0.88,0.88,0.82,0.92,0.84,142
2020-10-1/17:31:43,leukemia2,1,0,0,0,InfoGain,C4.5,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,20,83.33,4,16.67,0.74,0.11,0.33,25,70.23,24,0.83,0.1,0.85,0.83,0.83,0.75,0.86,0.76,142
2020-10-1/17:31:44,leukemia2,1,0,0,0,InfoGain,Naive-Bayes,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,22,91.67,2,8.33,0.87,0.06,0.24,12.5,49.66,24,0.92,0.04,0.93,0.92,0.92,0.88,0.95,0.9,142
2020-10-1/17:31:45,leukemia2,1,0,0,0,InfoGain,IB1,48,100,0,0,1,0.03,0.03,5.97,5.93,48,1,0,1,1,1,1,1,1,18,75,6,25,0.61,0.18,0.4,41.18,83.65,24,0.75,0.14,0.79,0.75,0.75,0.64,0.8,0.66,142
2020-10-1/17:31:46,leukemia2,1,0,0,0,InfoGain,SVM,48,100,0,0,1,0.22,0.27,50.75,58.19,48,1,0,1,1,1,1,1,1,20,83.33,4,16.67,0.74,0.27,0.35,60.42,73.09,24,0.83,0.1,0.85,0.83,0.83,0.75,0.88,0.76,142
2020-10-1/17:31:50,leukemia2,1,0,0,0,ReliefF,C4.5,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,17,70.83,7,29.17,0.54,0.19,0.44,43.75,92.9,24,0.71,0.17,0.7,0.71,0.69,0.56,0.77,0.59,142
2020-10-1/17:31:51,leukemia2,1,0,0,0,ReliefF,Naive-Bayes,48,100,0,0,1,0,0,0,0,48,1,0,1,1,1,1,1,1,22,91.67,2,8.33,0.87,0.06,0.24,12.5,49.66,24,0.92,0.04,0.93,0.92,0.92,0.88,0.93,0.89,142
2020-10-1/17:31:52,leukemia2,1,0,0,0,ReliefF,IB1,48,100,0,0,1,0.03,0.03,5.97,5.93,48,1,0,1,1,1,1,1,1,19,79.17,5,20.83,0.67,0.16,0.36,35.29,76.39,24,0.79,0.13,0.81,0.79,0.79,0.68,0.83,0.7,142
